group	Q1	Q2	Q3	Q4	Q5
POLK	0.352020433	0.485667589	0.818154086	0.645232546	0.833998871
sim	0.661691163	0.657417671	0.633558604	0.810729214	0.378264324
sim	0.566353388	0.900330411	0.644752067	0.890507379	0.687363604
sim	0.712955052	0.417532155	0.731298944	0.98892494	0.676048632
sim	0.440466503	0.634594065	0.617534632	0.396426497	0.646423086
sim	0.553139671	0.705087534	0.277046947	0.708116518	0.704376336
sim	0.661274058	0.473511964	0.766880928	0.564168963	0.476653626
sim	0.519089278	0.81532904	0.930148777	0.72699706	0.716998767
sim	0.918394239	0.826939086	0.923025188	0.870345699	0.669085102
sim	0.550959609	0.737728554	0.780070543	0.803673869	0.798598315
sim	0.752273021	0.893477846	0.56996412	0.704100701	0.773313249
sim	0.51669005	0.687917601	0.647976617	0.575804851	0.689795189
sim	0.710174103	0.894175412	0.532264362	0.567597272	0.665545281
sim	0.700847509	0.550985122	0.645706592	0.7042437	0.750444168
sim	0.71121723	0.766146196	0.612593691	0.913947923	0.793574412
sim	0.491448001	0.490129009	0.507029076	0.821698987	0.524335867
sim	0.91830062	0.771638888	0.638834156	0.608360844	0.618323575
sim	0.511582677	0.508875783	0.524965624	0.64232958	0.856375031
sim	0.627188628	0.479634892	0.401502032	0.769732563	0.546928976
sim	0.787567333	0.699205841	0.743579256	0.660593727	0.580256116
sim	0.756475589	0.669694537	0.630178386	0.706802732	0.888990053
sim	0.819717894	0.807895095	0.687285909	0.713607615	0.813199167
sim	0.782380161	0.833112351	0.519238725	0.543095963	0.665480385
sim	0.708529223	0.511254047	0.703246003	0.54819944	0.821553533
sim	0.702749459	0.887445099	0.751363778	0.578649183	0.720048851
sim	0.833009428	0.801507705	0.77732591	0.72579131	0.499238043
sim	0.845565715	0.572942019	0.645245354	0.649395531	0.876089643
sim	0.555283829	0.882043949	0.4634882	0.705895416	0.385111961
sim	0.737834624	0.493139789	0.525160878	0.777293231	0.743830322
sim	0.560583796	0.656055909	0.90041676	0.668592826	0.750322047
sim	0.704462382	0.715330235	0.550118348	0.574198014	0.865921586
sim	0.839766217	0.447927372	0.827565354	0.383109564	0.671036867
sim	0.680271488	0.586407657	0.685576413	0.680022704	0.616283078
sim	0.67832813300000006	0.534837785	0.677766567	0.644342792	0.458976836
sim	0.667586638	0.510265193	0.44767031	0.720730669	0.59972135
sim	0.734926663	0.65088987	0.809557155	0.780729331	0.883075103
sim	0.659613192	0.515360477	0.92188299	0.7549694	0.598310405
sim	0.713349353	0.68584237	0.403916827	0.543780202	0.65940177
sim	0.973887592	0.487167348	0.718033609	0.896575035	0.727363568
sim	0.539046976	0.683918397	0.856373976	0.63031965	0.626872376
sim	0.681638014	0.328028027	0.425687075	0.565433998	0.748317965
sim	0.538863035	0.713901231	0.902865787	0.581013794	0.465121957
sim	0.707077629	0.575478999	0.560026641	0.907720208	0.607115355
sim	0.777231736	0.985765653	0.658575618	0.677049153	0.813467757
sim	0.743597642	0.729094864	0.847033181	0.819635869	0.463672654
sim	0.874320891	0.571227693	0.793101741	0.71154029	0.967536253
sim	0.722296855	0.671543106	0.827585561	0.671627691	0.703410226
sim	0.764655046	0.431067068	0.748909702	0.355832565	0.934469651
sim	0.775706263	0.518535517	0.653851375	0.609830433	0.72917472
sim	0.638495558	0.551226599	0.517562315	0.627202018	0.759882155
sim	0.656887775	0.666291613	0.698610405	0.584480031	0.646039092
sim	0.63596889	0.586146126	0.638948691	0.480676451	0.724320824
sim	0.789371908	0.77117715	0.627783877	0.578050337	0.787335731
sim	0.563971939	0.620728177	0.506661556	0.720212406	0.440316758
sim	0.807981963	0.403027233	0.778537722	0.595883407	0.642780478
sim	0.746955321	0.478024507	0.435514658	0.52979172	0.403925701
sim	0.498625725	0.421415486	0.717040899	0.559349478	0.666463622
sim	0.615507614	0.847372194	0.558172194	0.565273608	0.62610444
sim	0.861971609	0.869776248	0.675838174	0.750855152	0.585713577
sim	0.538441986	0.714866693	0.709067562	0.481640603	0.639813489
sim	0.64502291	0.661734135	0.68853284	0.674317664	0.656593675
sim	0.478250668	0.571078324	0.78456757	0.546645372	0.456186625
sim	0.602864203	0.75820635	0.646880255	0.721640987	0.605747103
sim	0.821560314	0.697765993	0.849015007	0.557043179	0.770303656
sim	0.404828558	0.72226328	0.738917598	0.557828533	0.615231444
sim	0.916447086	0.441230872	0.791862387	0.594867941	0.989717551
sim	0.493441755	0.889072531	0.637469509	0.548027174	0.593714755
sim	0.724567804	0.891876616	0.673861893	0.529893399	0.917884258
sim	0.700602856	0.968012089	0.638518163	0.735173351	0.717877285
sim	0.749928186	0.536565687	0.722521391	0.782772441	0.695917731
sim	0.837820531	0.734811696	0.917554788	0.70498503	0.867689096
sim	0.741219767	0.750668631	0.494017116	0.8769205	0.75325031
sim	0.555702738	0.710991365	0.731071512	0.602212571	0.770526757
sim	0.65239246	0.926232204	0.657126534	0.648359656	0.482555164
sim	0.599376533	0.701067118	0.82445506	0.487030413	0.437148859
sim	0.68309148	0.582551068	0.761695883	0.754650905	0.827696264
sim	0.550256228	0.456490253	0.733185534	0.541726607	0.678461014
sim	0.887011725	0.492528703	0.440948416	0.544209581	0.552333749
sim	0.704221762	0.505966345	0.76451307	0.556174348	0.744711344
sim	0.496967402	0.654271802	0.516665484	0.46862847	0.74988106
sim	0.49251668	0.763145805	0.593484036	0.595637701	0.791960042
sim	0.582683924	0.728867142	0.655567031	0.540776312	0.731874396
sim	0.779739148	0.756145646	0.623100173	0.46573317	0.798588972
sim	0.783683828	0.673312773	0.628307345	0.690633998	0.790636483
sim	0.663174819	0.658386049	0.534478227	0.650484449	0.568885079
sim	0.992342443	0.796227008	0.679047651	0.648411164	0.657178144
sim	0.738476889	0.70747751	0.775621722	0.896267901	0.93119153
sim	0.711066249	0.780636933	0.794265746	0.685376135	0.81757513
sim	0.857459556	0.830814557	0.815089038	0.817126911	0.694943118
sim	0.577338243	0.806088807	0.80576536	0.750612212	0.771265313
sim	0.806991504	0.617624463	0.562094197	0.360289601	0.670303718
sim	0.999962327	0.734601322	0.629117497	0.726568669	0.885861333
sim	0.563497673	0.561276038	0.651837423	0.643341627	0.748627597
sim	0.572085963	0.519088852	0.600222448	0.644719116	0.492300611
sim	0.615788271	0.76546171	0.572781897	0.610568769	0.781135189
sim	0.846246001	0.383941043	0.739887135	0.759508747	0.813358584
sim	0.535387261	0.880841126	0.755030575	0.526327097	0.58016828
sim	0.823003253	0.502829073	0.640933443	0.921025805	0.773746091
sim	0.773689721	0.628120873	0.667105372	0.741868448	0.648149137
sim	0.872262114	0.537428944	0.396311956	0.438870855	0.631475291
sim	0.605269558	0.815822503	0.543137542	0.828406846	0.690354444
